Items,image_link
Coats_Coat_Trench Coat_bege_No Pattern_NaN_NaN_All year,https://media.dior.com/couture/ecommerce/media/catalog/product/n/8/1649191536_841M55A3332_X1700_E01_GHC.jpg?imwidth=800 
Top_Shirt_Sweater/Jumper_bege/black_Stripes_Wool_NaN_Winter,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F99%2F9e%2F999e7635ce17d2705ac1357995af67c7f8506b43.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_cardigansjumpers_jumpers%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/zoom]&zoom=zoom
Bottom_Pants_Straight_white_No Pattern_Ganga_NaN_All year,https://levi.pt/content/img/levis_jeam_feminino_wedgie-straight-jeans-34964-0183_in-the-clouds_6.jpg
Accessories_Bags_Bowler_black_No Pattern_NaN_Small_All year,https://images.ikrix.com/product_images/original/iKRIX-furla-bowling-bags-swing-quilted-small-bowling-bag-00000187685f00s003.jpg
Footwear_Shoes_Ballerinas_bege/black_No Pattern_NaN_NaN_All year,http://www.meghansmirror.com/wp-content/uploads/2020/07/Meghan-Markle-2020-Chanel-Ballet-Flats.jpg
Fullbody_Dress_Long_black_No Pattern_Satin_NaN_All year,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fbd%2Fa7%2Fbda7784fc707ad3d4f897389605648ffda3edc3a.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_dresses_mididresses%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main]
Top_Shirt_T-shirt_white_No Pattern_Coton_Oversized_Summer,https://www.na-kd.com/resize/globalassets/round-neck-cotton-t-shirt_1044-000145-0001_flatlay-1.jpg?ref=408E7E627E&quality=80&sharpen=0.3&width=838
Bottom_Pants_Wide leg_Bege_No Pattern_Linen_NaN_Summer,https://img.hollisterco.com/is/image/anf/KIC_356-3013-0339-110_prod1?policy=product-large
Footwear_Shoes_Sneakers_white_No Pattern_NaN_NaN_All year,https://cdn.shopify.com/s/files/1/0419/1525/products/1024x1024-Women-Premier-White-101322-3.4.jpg?v=1666895381
Accessories_Bags_Bucket_white_No Pattern_NaN_Small_All year,https://cdn-images.farfetch-contents.com/18/87/80/20/18878020_41242928_1000.jpg
Top_Shirt_Sleeveless_black_No Pattern_Nan_NaN_Summer,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F9a%2F90%2F9a90e812b2166ae7423346585a6228cbdd4ff836.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main]
